District,School,LowIncPct,ReadHigh,ReadMed
SOUTH FAYETTE TOWNSHIP,SOUTH FAYETTE TWP EL,19,33,33
WEST ALLEGHENY,MCKEE EL SCH,14,36,30
WEST MIFFLIN AREA,NEW ENGLAND EL SCH,20,33,33
SENECA VALLEY,CONNOQUENESSING VLY EL,18,29,37
MONTOUR,FOREST GROVE EL SCH,8,40,26
MOON AREA,PLEASANT VIEW EL SCH,6,44,22
FRANKLIN REGIONAL,SLOAN EL SCH,4,40,26
ROCKWOOD AREA,ROCKWOOD AREA EL SCH,37,40,26
CENTRAL YORK,NORTH HILLS EL SCH,15,34,32
NORTHEASTERN YORK,YORK HAVEN EL SCH,31,32,34
CORNWALL-LEBANON,CORNWALL EL SCH,13,35,31
PENN MANOR,ESHLEMAN EL SCH,14,34,32
BOYERTOWN AREA,BOYERTOWN EL SCH,10,38,28
CONRAD WEISER AREA,CONRAD WEISER EAST EL,8,37,29
HAMBURG AREA,PERRY EL SCH,14,30,36
TULPEHOCKEN AREA,PENN BERNVILLE EL/JHS,9,33,33
CENTRAL DAUPHIN,FISHING CREEK VALLEY EL,7,33,33
ABINGTON HEIGHTS,ABINGTON HEIGHTS MS,10,37,29
EASTON AREA,FORKS EL SCH,10,35,31
PALISADES,TINICUM EL SCH,9,36,30
PENNRIDGE,SELLERSVILLE EL SCH,12,30,36
NORTH PENN,INGLEWOOD EL SCH,7,37,29
WEST JEFFERSON HILLS,JEFFERSON ELEM SCHOOL,9,27,38
TRINITY AREA,TRINITY EAST EL SCH,18,41,24
BALDWIN-WHITEHALL,PAYNTER EL SCH,21,32,33
FOX CHAPEL AREA,HARTWOOD EL SCH,28,48,17
MONTOUR,J W BURKETT EL SCH,7,33,32
NORTH ALLEGHENY,FRANKLIN EL SCH,4,42,23
NORTHGATE,LINCOLN EL SCH,37,46,19
RIVERVIEW,TENTH STREET EL SCH,23,37,28
SLIPPERY ROCK AREA,SLIPPERY ROCK AREA EL,37,41,24
HEMPFIELD AREA,WEST HEMPFIELD EL SCH,30,37,28
ALTOONA AREA,PLEASANT VALLEY EL SCH,29,17,48
NORTHEASTERN YORK,CONEWAGO EL SCH,22,36,29
SOUTH EASTERN,FAWN EL SCH,9,38,27
CONESTOGA VALLEY,SMOKETOWN EL SCH,16,35,30
MANHEIM TOWNSHIP,REIDENBAUGH EL SCH,5,35,30
PENN MANOR,MARTIC EL SCH,19,26,39
WILSON,WHITFIELD EL SCH,4,35,30
WYOMING AREA,SARA J DYMOND EL SCH,33,29,36
PHILADELPHIA,GREENBERG JOSEPH SCH,40,25,40
FREEPORT AREA,BUFFALO TWP EL SCH,28,35,30
DUBOIS AREA,LUTHERSBURG EL SCH,46,32,32
BETHEL PARK,GEORGE WASHINGTON EL,7,30,34
GATEWAY,MOSS SIDE MS,23,33,31
KEYSTONE OAKS,MYRTLE EL SCH,34,28,36
NORTH ALLEGHENY,ESPE EL SCH,7,32,32
NORTH HILLS,ROSS EL SCH,11,38,26
PLUM BOROUGH,PIVIK EL SCH,13,37,27
IROQUOIS,LAWRENCE PARK EL SCH,27,32,32
MILLCREEK TWP.,BELLE VALLEY EL SCH,18,24,40
MILLCREEK TWP.,CHESTNUT HILL EL SCH,14,32,32
MILLCREEK TWP.,GRANDVIEW EL SCH,15,33,31
GREATER LATROBE,BAGGALEY EL SCH,31,31,33
NORWIN,STEWARTSVILLE EL SCH,19,32,32
COUDERSPORT AREA,COUDERSPORT AREA EL SCH,26,32,32
HUNTINGDON AREA,SMITHFIELD-JUNIATA EL,39,40,24
DONEGAL,SEILER EL SCH,17,44,20
EPHRATA AREA,LINCOLN EL SCH,12,33,31
PENN MANOR,CONESTOGA EL SCH,8,41,23
BOYERTOWN AREA,COLEBROOKDALE EL SCH,9,44,20
FLEETWOOD AREA,MAIER EL SCH,5,31,33
GOVERNOR MIFFLIN,INTERMEDIATE SCH,7,36,28
LOWER DAUPHIN,EAST HANOVER EL SCH,8,33,31
BENTON AREA,APPLEMAN EL SCH,26,40,24
DALLAS,DALLAS EL SCH,13,27,37
LAKE LEHMAN,LEHMAN-JACKSON EL SCH,25,41,23
EASTON AREA,TRACY EL SCH,9,46,18
NESHAMINY,HOOVER EL SCH,12,24,40
PENNRIDGE,GRASSE EL SCH,20,30,34
QUAKERTOWN COMMUNITY,HAYCOCK EL SCH,10,32,32
CHELTENHAM TWP.,ELKINS PARK SCH,11,35,29
NORTH PENN,BRIDLE PATH EL SCH,4,33,31
NORTH PENN,OAK PARK EL SCH,9,19,45
PERKIOMEN VALLEY,PERKIOMEN VALLEY MS,12,36,28
SPRING-FORD AREA,LIMERICK EL SCH,17,36,28
GREAT VALLEY,MARKLEY EL SCH,9,41,23
KENNETT CONSOLIDATED,NEW GARDEN EL SCH,15,32,32
PHOENIXVILLE AREA,SECOND AVENUE EL SCH,3,40,24
AMBRIDGE AREA,STATE ST EL SCH,36,23,41
CENTER AREA,TODD LANE EL SCH,14,35,29
CLEARFIELD AREA,CENTRE EL SCH,51,36,27
SHALER AREA,ROGERS EL SCH,8,34,29
SENECA VALLEY,HAINE EL SCH,9,33,30
BURGETTSTOWN AREA,HANOVER SCH,21,21,42
TRINITY AREA,TRINITY WEST EL SCH,29,34,29
BETHEL PARK,BENJAMIN FRANKLIN EL,8,33,30
SHALER AREA,BURCHFIELD EL SCH,16,29,34
CRAWFORD CENTRAL,NEASON HILL EL SCH,31,25,38
OIL CITY AREA,SEVENTH STREET SCH,32,28,35
GREATER LATROBE,MOUNTAIN VIEW EL SCH,11,38,25
YOUGH,H W GOOD EL SCH,33,28,35
YOUGH,LOWBER EL SCH,42,25,38
HOLLIDAYSBURG AREA,FRANKSTOWN EL SCH,28,32,31
HUNTINGDON AREA,WOODCOCK VALLEY EL SCH,22,25,38
